text,afraid,angry,anxious,ashamed,awkward,bored,calm,confused,disgusted,excited,frustrated,happy,jealous,nostalgic,proud,sad,satisfied,surprised
yesterday be my birthday and i spend it with my family which be the most important thing in my life  i felt love and pamper as if i be the most important thing in their live as well,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
yesterday be my  pull day  in my workout routine  i be able to achieve fifty pull up with sixty-five lbs hang from my waist on my dip belt  i go up in weight from last week and felt great ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
yesterday be a very productive day at work for me  i finish all of my work for my realworld job very quickly  and be able to also make over  one hundred on mechanical turk  which will help tremendously with get out from under some past due bill currently weigh on me ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
yesterday be a very informative day with my son and daughterinlaw  my son tell me he be start a new semester at school and he would be enrol on his day off friday  my daughterinlaw be very happy yesterday and offer to bring me newspapers from work which she could get free from her boss  all in all a very pleasant day ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
yesterday be a great day at work  my client be great with express his desire to gain my attention  i teach him yesterday how to say  hi  to gain attention of adults and by the end of the day  he be say  hi  to every adult that pass through the clinic ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
yesterday be a bad day for diverticular disease  i could not eat  and i be in a lot of pain  still  i be able to function through it  and i know that if i be patient the pain will go away eventually  i just wish there be a more permanent solution ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
yesterday there be enough turk work for a change  it have be very slow recently  at least i have a chance of meet my bill payments next week but i have to sit on the computer every possible second to grab possible work ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
yesterday my wife and i find out that our infertility treatment will be cover by insurance ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
yesterday my oldest daughter have her first high school weight lift meet of the season  this event be the result of many of many hours of hard work  she do very well come in second place in her weight class ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
yesterday my children and grand children come over for a cook out  i have not seem them all together for a few weeks so it be great to get them all together  i have a son  daughter and three grandchildren  two boys and a girl ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
yesterday i work out for a good hour or so  i be really try to lose weight so work out be become the most important part of my day  it be hard  and at time i become really frustrate  in the end i be happy i do it  it just be not enjoyable while i be in the process of work out ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yesterday i work online most of the day  i discover an assignment i have do the previous day be reject  this assignment provide a considerable reward so i basically lose about an hour s worth of work  that be frustrate  we need the money i be make onine right now to pay our bill so i be also concern about make enough money  however at the end of the day i hit my earn goal so i be satisfy with my progress ,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
yesterday i work on a way for my family to see my private photos on flickr without register on the site  i find out that anonymous guests can see the photos but they can not comment  and the comment be the main reason for the photosharing  very frustrate ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
yesterday i go to my gp to get inform of a cat scan of my hip  which have be bother me  i be seventy-three   i be happy to find out that it be not arthritis  though there be a little in the hip  but a pinch nerve  i be give some exercise i can do to help alleviate my pain  i felt good that it be not necessarily a degenerative thing ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
yesterday i go to exercise at the gym  i do weight lift  mainly work out on bench press  i felt satisfy because i be able to pr on a set ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
yesterday i go hunt  i have to hike for four miles and i be able to stalk a large deer for quite a while  i do not get anything  but i have a really good time and felt great when i get home ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
yesterday i go for a walk with a friend  about a mile into our walk it start pour down rain  we be soak before we make it back to the car ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
yesterday i be sick with a stomach bug  i spend all day in bed and barely eat  and it be overall a pretty miserable day ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
yesterday i be remind of how love and appreciate i be  i be remind that the people i care about care about me as well and that i be important to them,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
yesterday i be diagnose with cancer  i do not know how to feel  right now i just feel empty and possibly in shock  i have not tell anyone yet  but i think i will probably call my parent and sisters today to let them know  i just need time to process this alone right now ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
yesterday i stop by subway while my clothe be in the dryer at the laundromat  i order a six inch tuna melt with spinach tomato jalapeno and pickle  it be one of the greatest taste sandwich i have have in a long time and it be healthy eat ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
yesterday i make a lot more money on mturk then i expect  a whole  twenty-three  these last few weeks have be pretty rough  not many hit be out  probably because almost the holiday,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
yesterday i leave work and meet my family at target  we have to return some baby pajamas and get different ones  i be just happy to get out of work and spend time with my family  afterward we go to eat then home and watch a movie  it be a relax even ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
yesterday i have to go to the dentist and be worry about my oral health  you see  three months ago  when i go for my teeth clean  the checkup be not so good so i be worry it might be even worse  so i be anxious head into the appoointment ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yesterday i do some research about get my calendar print out  what they will cost  different methods  i think this project be really go to be doable ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
yesterday i complete sixteen survey  i be satisfy with work ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
yesterday despite feel sluggish,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
work for slave wag and get screw and exploied every day  seven days a week  be drive me nut  i hate it  why can there be any decent requestors who pay a live wage ,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
work be able to use my skills and knowledge for the benefit and growth of our company ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
work be very demanindg yesteday it require me to work extyra long in order to finish the project that be under way when i start the week  we as a team be on a tight deadline and in order to finish we be really all work hard  it be amaze  interest and so much fun i have not have htis much fun at work ever ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
work be long today  i do a lot of different project at two different store  it be frustrate some of the time  but the fact that i finish everything give me a sense of accomplishment ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
work make me feel like i have a purpose but also frustrate and annoy because there be so many things go on at once ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
work be salient because do it allow me to earn money so i can pay bill and not starve to death  i felt satisfy with the amount of work i be able to put in to my work project yesterday ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
work be rather salient because i spend the majority of my day there  nothing particularly excite or interest really happen there but it be fairly busy as it usually be  give that we be federal employees who be except from the furlough but not be pay to work we spend a lot of our day talk about the shut down and what if anything trump be do to attempt to alleviate it ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work be probably the most important and salient thing i do  it be not very excite and can be very frustrate  but it provide me with an income to pursue other things i care about more  however  since it be just a wednesday  i do not really have anything else go on ,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
work be important  i like to be busy and have a purpose  it make me feel good to have alot to do and important responsibilities  it boost my self esteem and make me feel good ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
work dominate my day yesterday  there be a mountain of work so i be somewhat frustrate that many things have to be disregard in my personal life to finish work ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
when nothing go right i know god be there with me  he be there to lift me up  he be always there to talk to and never judge me  i love him and always bless for the bless he give,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
what be most salient about my day yesterday  be spend quality time with my children  together  we rake the leave outside in the yard and share laughter and joy ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
go to visit my mom in the hospital she be just transfer from the icu to a regular ward and she be alert and talk which be a huge change from a few days ago,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
go grocery shop with my mom  get a flu shoot while i be there ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
we have such a good time it be nice and felt very nice he be very love,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
we have friends surprise us with a visit  we have not see them over two years  we be all so excite  they be from hawaii and it be snow here so we get to play in the snow with them and build a snowman ,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
we have a pretty big extracation that i perform well on  i carry out my duties pretty well  and be self direct at all of it  i felt proud of myself for function like i have be there and do that before ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
be able to meet up with my girlfriend after a week of not see her  i be very excite ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
be able to eat some of my favorite food so i be pretty happy and excite and could not wait to eat it ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
wake up rereshed and have a great conversation with my wife  we talk all day and it never cease to be insightful and amaze,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
upon pick up my only child from school  she give me the amaze news  she be choose to be in honor quiet  dad and i be so happy and proud of her  we do not know how we be go to squeeze in choir rehearsals with her ballet rehearsals but we will figure it out  dad and i be take sunday off  so we can go and celebrate her invitation  we be so busy with life  that we need to start to take and make time for each other  i find it curious that this survey come up  when my first think this morning be  how bless i be to have my family  how quickly time be pass  and how to make time for each other ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
try to help my motherinlaw find a home  but it be kind of awkward because i feep like she want to live with us ,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
today  i exercise and it honestly felt amaze  the feel after a good workout be hard to beat ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
today we have my favorite food in the whole world for dinner  pepperoni pizza from angelo s pizza parlour  it always make my day when we have pizza ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
today we have a snow day or shall i be more specific  we have an ice day  there be a layer of slick ice that coat all outdoor surface so my children be home from school  we induldged in the day and enjoy eachothers company by play game and make cook  we watch a chinese anime movie before dinner and snuggle on the couch ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
today be my best earn day today  if i can keep earn like this i can save money for the cruise with my friends ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
today be just a normal day  i work all day and nothing really happen  during slack time i work on mturk  it felt like another day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
today be a very busy day at work  we have corporate visitors and have to be on our best behavior  i also have to make a prewsentation about my section to the corporate people  it go well  and i glad to be do with it ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
today be a bless day as i have god in my heart  it be a good day as it be a day of appreciation for everything i have in this life ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
today be a memorable day  ananya perform a hul hoop dance in her school talent show her first ever performance outside home in all of her seven years ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
today i go out to drink with friends  we decide to have unlimited wing contest  between the four of us i come in second  i perform better than last time come in last  it be a great time  we drink talk and eat ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
today i be very sick  it seem everybody i know have a cold and i think i be above it but no  i have some orange juice and go back to bed  not a good day ,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
today i be able to make  eighteen on mturk  new record for a day  it take from 6am till about 8pm  once i get to  fifteen i keep go to see how much i could make but the hit dry up ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
today i spend time with a student at work who be volunteer at the hospital  she be work on her msw and we discuss her graduations project ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
today i have a good and easy day  everything in the department be take care of and no new issue come up ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
today i feel sad at work  i feel anxious because i have too much to do  i feel so overwhelm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
today at work i have the chance to catalog a  40k book which be a prize possession of my boss  it be just about fall apart but i be able to flip through  translate some german and get it up online for sale  my boss be please ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
time spend with my family be always better than anything,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
this would be kayak with my dog  there be nothing more peaceful than take the boat out on the water with my best pal and just enjoy the peace and tranquility of the water and the breeze  it make a horrible day at work just melt away ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
this week have be go great  i have establish good relationships with all my friends and i feel like i be at a place where i feel love and support by everyone who i know  i be hang out with people more and it just make me happy that a lot of people want to hang out with me to  it be always a fun time to go out and get food which be something that i do a lot ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
there be an incident with my spouse where he be try to restrain our dog that recently have surgery when we be go to fee him  unfortunately  the dog rear his head back and hit my spouse in the mouth and knock out his dental crown  this situation surprise me and make me anxiousfrustrated because my spouse be really upset and now we would have additional expense to fix his dental work ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
the work yesterday be different than most of days  i have some issue and the deadline be approach  i almost miss it  luckily i have the best coworkers that help me out before i have ask for any help ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
the salient thing i do yesterday be spend time with family  my husband be at home yesterday for two days then he will work again for five days  so we always make sure we spend quality time together as a family when he be at home ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
the night before last ie  yesterday morning i sleep for over ten hours straight which be not normally a thing i ever do like ever  unfortunately i felt like absolute crap as the result of have catch something most likely the flu so i do not feel great at all in fact i felt like total crap  cough crap in my throat crap in my lungs the whole bite  i be a bite worry i be go to wake up feel way sicker but that do not stop the fact that i absolutely need to crash at like eight pm  so i do  wake up feel sooo much more refresh  still sick but not nearly as bad  ten hours of sleep be what i need i guess  still sick though ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
the most salient thing yesterday be relationship to my family  i talk to my daughter in the morning  to my son in the afternoon  and spend all day with my wife  i have a very enjoyable wonderful day ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
the most salient thing i felt yesterday be love life  i for the most part feel bless in all that i have accomplish in life and be very grateful,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
the most salient thing from yesterday be my 8mile hike  i have the day off work so i decide to hit the hike trail in my town  i spend a few hours hike eight miles in the ozark mountains  the day be warm and beautiful  feel the sun on my back felt good ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
the most salient thing from yesterday be how we be a family  wife and three kid  but as of recent we have be very distant from each other so the household be cold and callous  just last month our house be loud and boisterous  now its silent and uncomfortable ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
the most salient thing about my day yesterday be recreation  or maybe i should say  the lack thereof  i be so distract and bore yesterday  i could not find anything to keep myself occupy with all day long  i be antsy most of the day and it be entirely frustrate  i try to talk to a few friends about it  maybe make some plan to do something  but they be all otherwise engage for the day  which make it even more frustrate  i really need to calm my mind so i can focus on something  get immerse in it  that will help the anxiety and the boredom ,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
the most noticeable and important thing in my life yesterday be the reconciliation with my expartner  we officially become a couple and spend a lot of time together become closer  and share our thoughts and ideas  and take care of one another  i felt happy and hopeful that this time everything would work out for the best ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
the most important thing in my life be always god or my salvation  it make me feel calm or at peace know no matter what life throw at me he be on the throne fight my battle for me and i be go to be okay,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
the market team meet to review and revise our market program for the company  the progress we make be exclent and i be proud be the leader of this team ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
the kid have a half day at school and go for a hang out at different friend s home  i pick them up after work and both friends be from affluent families  we be not and the process of enter large mansions and speak with the other parent make me a bite anxious ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the food be wonderful  it be chinese food from the local restaurant  i have chicken teriaki french fry and saute brocolli in a lovely sauce  the meat be sp juicy and moist  the fry be to golden perfection and the sauce on the brocolli be outstanding  i be so satisfy and sate afterward  it make my day complete ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
the food i make be good and make me happy and enjoy my day,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
the day be great and i wish it would never end  life could not be any better ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
the answer in the bible be god speak to me which give me directioncomfort joyhappinesspeace goodnessgentlenessmeeknesstemperance,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
that small things do not matter  that you should be thankful for the person that love you and that you love ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
take care of my family especially my kid be the most important responsibility i do  it bring me joy and happiness be able to spend time with my family ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
spend time with my wife after work be most precious event of the day  make our dinner together and catch up on things with my wife during cook a meal be precious and fun way to spend time together ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
spend time with my family mean my spouse and children give me so much joy  be older and have young chilldren give me an appreciation of every moment with them  it have also give me a real focus on what be important  i never want to be a disappointment to them but instead be an example ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
spend time with my family make me happy  i be so grateful for them  i feel lucky to have be so bless ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
spend time with my family be what i do everyday  its something that make me really happy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
spend time with my daughter and my husband be the most salient thing i do yesterday  i be out of town for the weekend and be very excite to have some time to catch up with them and just hang out and relax together ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
so i help my aunt move some things out of my friends house on quite short notice  and the overall sense i have after the task be do be that i felt very reliable  i be please that i could be so useful and reliable as a source of free labor  and that i be will to help a stranger with no question ask ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
sleep be an important part of my day because it be important to my health well be and my daily funtioning  i be very tire yesterday and i fell asleep earlier than i have plan  i be plan to wake up to watch something but i fell back asleep  i be awake again a little while later with serious pain in my one eye  at time my eye can be sensitive when i have a cold settle in one or both of them  two more time i be wake up by the eye pain  it be bad and i be super tire  so i get to go back to sleep for a little while longer ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
see them happy make me happy  the do everything in their power to make me happy also and we live as one  share most of the things we have together  always there for ourselvea,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
one of my friends come back from spain he be get his master degree and a bunch of friends gather to meet him  it be a really cool experience because i get to catch up with many of my friends ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
once again i be remind of how awesome my wife be  she surprise me after work with a special whiskey taste for macallan scotch  it last two hours  with live music and of course lot of great whiskey ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
my work yesterday involve work around the yard  mow  trim branch and bush  sweep the walk and patio and finally clean and refillling all of the bird feeders  it be very enjoyable work for me  i love be outdoors  it be also exercise as i build up a sweat once or twice  when i be through  it look and felt like a good accomplishment  the yard look great and our curb appeal be really good ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
my work be what keep me go  it make me useful provide a platform for me to offer my service ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
my work be something that i have to do in order to enjoy life and allow other things to prosper  i feel good about the outcome ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
my work be salient on most days  i feel happy  proud  and satisfy  my job be very important to me  and i feel very positive about my job ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
my work be important and noticeable but extremely bore  i would like a different job but it do pay the bill and give me less headaches than other job ,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
my wife be the most important thing in my life  when i get home it be her smile face that make me glad i be alive ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
my wife have 4th stage cancer and be go through chemo every three weeks  in the 2nd week after the last chemo treatment she be her normal self and able to cook  so yesterday for dinner we have a good cook meal that be delicious as she know how to cook and it also be a sign of some normalcy come back for her in her life ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1
my wife and i take our two year old son to the park  him and i go on the swing together and go down the slide  it sound really simple and may be bore to some but he be so exit to be there  see his little face light up like that make me feel so happy ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
my wife and i make a pot of chili with venison spicy sausage  it be the perfect meal for a crisp even  some of the best chili i ever have ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
my spouse wake me up with a surprise breakfast in bed since we be take the morning off and then we spend time cuddle in bed together  our  date night  be see a horror movie together in the early afternoon and we spend time hold hand  watch a movie  and then we go out to a late lunch  i felt so lucky and so thrill to be able to spend the morning with the most amaze person in my life  my best friend and spouse make me feel love and i spend the day feel so content and giddy  just like when we be in high school  i have an amaze morning fill with love and laughter ,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
my son s girlfriend stay home from work today  she be act odd all day  i could tell something be wrong but do not know what  my husband come home from work later and he be focus on his friends at work  he do not want to talk about the kid or anything  i felt alone and sad  basically i felt invisible ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
my son be send home from school yesterday throw up  it make me anxious and worry because he be nonverbal and can not tell me what be go on ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
my son receive early admission to the college of his choice today  in addition he receive a scholarship ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
my sister s 29th birthday also eight yeas sober for her ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
my partner surprise me today  she stay home from work and we spend the whole day together  it be so wonderful and special ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
my parent both help me out big time with the house that myself and my wife just buy  they have watch our son and help wit the work quite a bite  i be very thankful for them ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
my parent be plan to sell their house so yesterday they be talk to their realtor  i be help out my parent clean the house to make sure that it look its best ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
my oldest daughter tell me she be move closer to where i live  it make me happy to know i would get to see her more often now ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
my new exercise routine be a new dog  we walk literally miles and its great  right now walk and house train her be the most important part of my day ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
my mother make batch of soup and chili s during the summer and store them  it always s happy time when she break one out for dinners ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
my morning routines start with center prayer for twenty minutes  then i pray laud to connect me with the prayer of the whole church  next a type a page into my journal then i simply hangout with god for the last half hour  by this time i be calm and ready for connect with my housemates  toward the end of the work day we all gather to say vespers together before celebrate mass together in the even  praise god for all the the bless and the challenge of the day be truly what i be about ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
my mom and i officially decide to run a marathon together late spring this year  we both register for the race book travel an officially commit  it make me excite to continue train because this be something i can do with my mom ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
my love life be the best thing that i have go for me in my day to day as i work on my goals  i think i find someone special ,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
my husband buy me flower yesterday for no reason  it be so sweet of him and make me so happy ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
my husband and i continue play through horizon zero dawn together  the game be turn out to be really great  it be long so it be a little annoy when he be ready to play and i be not yet but overall it be a really fun activity that we be do and appreciate together  it give me many warm fuzzy feel that i can share an appreciation for art and story with him like that ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
my grandson be bear two months before his due date  i get the chance to hold him for the first time yesterday  what a wonderful feel ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"my furnace do not work  it might cost around  one thousand, five hundred to replace it  because it be old  i be work my behind off on amazon mechanical turk and ebay to earn the money ",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
my friends make me happy just know them and they be a very important part of my day,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
my friends come over to rehearse for the show last night and it be wonderful  they get to meet our cat  we eat snack  and have a great time run line and block  it be the first time they would be to my place and i be proud to show them my home ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
my friend recently tell me about a promotion he would get  i be proud and happy for him  but i be also jealousy  i have be work on a promotion myself for a year now  and there be no sign it be come any time soon ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
my family be the most salient thing about my day  my baby boy turn nine months old today  it make me fee so proud and nostaglic and introspective  i reflect back and feel happiness that i create a beautiful child that be my own family ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
my family be the most important thing to me  my time with them be reward and it make me feel content  happy  and safe ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
