text,label
shondarhimes sure tweet back news abuzz tr knight leave confirm today muy triste,worry
rachellock22 ohh thursday exams day wednesday,sadness
mix dentist appt afternoon reschedule tomorrow 9am,neutral
gcrush nopantsdance think excite guy move realize sad see go,sadness
goooood mooorning people sun definitly spring first spring hail storm car dimple,worry
artfuldodga love itsakey usb stick 4gb australia,sadness
fresh prince sleepy sleep nightly routine get go dmv early tomorrow,worry
dammit hulu desktop totally screw ability talk particular port one dev servers watch code,hate
emmarler jealous mom talk taylorswift13 want see twitter make miss,worry
sleep keep think puppy play today,worry
suppposed sleep get much get one part song stick head jerk iknow blaahh,worry
lepetitagneau go sweetheart,neutral
freak difficult get systemwide spellchecker shit would settle office suite one stupid unhelpful windows,neutral
last one month due summer strawberry availble chennai market,worry
willxxmobb work 6am get go bed soon,neutral
robertf3 correct adore pluck put arm cuz cryin better hahaha,love
sweeetnspicy hiii ipod fall asleep,sadness
want work eleven thousand eight hundred thirty tomorrow get pay,sadness
feel sad coz able play guy plurkcompwxiux,sadness
princecharming,neutral
cayogial want come bz summer sure anymore teacher life summer suck,hate
first ever drop call mobile call telstra less charge data even though data pack,worry
mrgenius23 win sigh rakeem,hate
oh time real,neutral
darn allergies like time year never use problem either,sadness
oh one minute late oh well,worry
soviet_star damn suck,hate
cayogial want come bz summer sure anymore teacher life summer suck,sadness
mileycyrus website give virus open windows keep pop,hate
ahh big scary bug fly around room,worry
wish know put steal heart never give back occasionally like like look,sadness
nasty cough sick huge weekend ahead,worry
justamedicine stone cold crazy,neutral
tire,boredom
shift time bbye biochem waaaaahhhhhh plurkcompwxizo,neutral
melbournegirl sure some1 cum play workin til midnight,neutral
thecreativeone second wish rain,neutral
neesabear early happy day birth case make tire therapy today n take medicine misshu love ya,sadness
damn eric anyone else need hair play,neutral
feel deflate ugh dog,neutral
allergies suck duck nut eight eight,sadness
well almost good day guess retry tomorrow,neutral
iamyete waraku tasteless expensive portion little waraku,hate
freepbx sound good appreciate suggestion week still offline time ask refund,love
poinktoinkdoink die wait magic jack read,worry
britblackbird youstinkatrespondingtotexts,hate
wonder karma point turn zero plurkcompwxj54,sadness
need pack cali cali waittt think glass wine order celebrate weekend vaca still work 2morrow though,happiness
miserable feel like gona cry suck,sadness
megturney well run beer leave sure eta wait wait wait bleh go long nite methinks,neutral
nose stud fell find look like head amsterdam today get new one,worry
claire breakfastnt love show get office 5am radio,neutral
pat philly two love mmm cheesesteak miss boyfriend love vacation,love
sigh go bed feel right anymore,sadness
focus tom much see beloved barack oh must vote poor president six hundred twentysix vote,neutral
jwillock epicentre wheelock place tourists,neutral
depress watch think dance,sadness
cross stick twiddle thumb ugh,sadness
miss 16th,neutral
theharvardian know like say idea long take investigate stuff,neutral
sleep sore move,worry
lafloozita twitpiccom4phze awe miss baby,neutral
softtouchme answer never learn write french basic stuff,empty
chocolates never say,neutral
achieve new appreciation xml build script really painful cumbersome,worry
ether_radio awake ill nap afternoon,neutral
omfgiselle anything,worry
still need another six hours sleep,neutral
work,relief
rip leonardo great mini fiddler crab,fun
morning tweeple way early,neutral
last day work uni today sad time,sadness
nisforneemah thank neemah go soooo close izzy yet far,love
head hurt bad could scream,worry
go tire airmatras break somewhere even pain,worry
new work wellness challenge go well commit check email ten pm six fail first day twice,worry
new blog post blog auto insuran find auto insurance policy expire careless meanw,worry
bestfriends mia wat,neutral
oh men really see face cmon guy,worry
show age renew tag last week go twenty get insurance renewal email today go one hundred want old,worry
sole supporter sole supporter,worry
hate finish work still one hundred twentyfive hours leave work time,hate
emilyyy16 urgh stop guy,worry
still miss husband really want home,sadness
miss puppy,sadness
two days month leave 400mb leave onpeak download,surprise
idlethumbs get memo look amaze,fun
nzdeany give pizza kid would never let fav hot ones,sadness
read tabloids people live think go mine baby leave,worry
barbschaefer yearling pet home die sad whole family,sadness
fun sun hmmm hell cold,neutral
get giant splinter stick underneath finger nail today muppets hurt get go first aid first time,worry
heresmyhello92 hate change course fan life three oh meet rob something go horribly wrong,sadness
feel sad reason plurkcompwxji3,worry
well fuck new pain med odd warn actually apply take chan displease,sadness
upload new blog painful story 80s year old man cry want die sad,sadness
juneyee think want detail,neutral
jackgraycnn hi mary poppins,neutral
jaychuck addict kind curse night time everytime one feel like make music afterwards,worry
last tweet send bad phone,neutral
relly1 omg alive lol 2day go sooo slow go insane grrr anything tonight,fun
headache go bed goodnight,empty
taxidermi watch parental control,neutral
jessijaejoplin get california vintage ahahah best dress want ebay,fun
saw pics past thanksgiving sad grandma,sadness
jertronic let,worry
take shift tomorrow really feel like work right,sadness
money phone,sadness
spend last night e er wife tangle wheel daughter hit deck dislocation fracture result,worry
thelastdoctor nine days ready visit torchwood see hear anything,worry
bern_morley bris hear thunder,surprise
bec vs fat food winner fat food weeknend ill beat,surprise
bad red devil disappoint say least,sadness
dream pretty pretty beach beach wake,surprise
xdjio 3ware 9650se fast enough 3x x25m ssd raid5 800mhz iop hpt might try adaptec five thousand four hundred five 12ghz,sadness
da heck garage man get ask,surprise
eat mandy please forgive really sorry want lose bff,worry
melluffsyew umm yeah probably pretty good note self eeeeeewwwwwwww,hate
plane ticket expensive,worry
wendyisastar melluffsyew umm yeah probably pretty good note self eeeeeewwwwwwww,fun
need job badly,worry
alexandergwhite daaammmnnnnn wish,sadness
go di bella coffee roasters today ask job person need speak holiday fb,worry
yuki_hime play latter part voodoo village part coop lose usual partner,sadness
dymediva23 nite n bore oppose almost sleep frm b four,empty
bad friend,sadness
rlcpbiatch happy birthdayyy hope awesome day see next last night,neutral
sparkdawgmusic shit right vacation get workin,hate
aiderushton ill oir,neutral
only1kcj guess go girlie still gym work 630am,neutral
would wish severe migrains would stop doc prescriptions work,hate
bobbyedner miss game,love
moggy99 internet last night er brill massive explosion end nearby gas work er standby,sadness
tiffalo cuz airlines super lame,hate
lenje still pity come lamb though,sadness
bloomsday16 sorry hear optimist things get better us,sadness
paint bedroom furniture still table wait move uggh move heat,relief
tire insomnia,hate
juiceegapeach hungry fool ill probably never see krispy kreme enjoy close,neutral
yelgiuqnayr airport show tonight homo,neutral
hate bakersfield hate port let go home already want start vacation,hate
mrrathbone,neutral
look desktop twitter app actually let access urls suggestions like twittle link,neutral
people house know close doors,worry
complete facebook quiz time morning especially friday morning,surprise
lizzziemonster jamiejamess soooo hungry,neutral
munchkinhugs like possibility leave side brain hurt thing call vp shunt possible death,worry
cancel wow,sadness
want make music profile money know write music know play instrument studio,worry
fairyfroggie yeah sad ravenclaw account love account bits,sadness
one hundred fifteen hear helicopter fly house kind weird news headache back booooo,worry
__sugar oh always three,worry
back school ms suhana last day ft ocu okay play altnoy,neutral
poll try get work powerpoint avail,neutral
take math test today day test teacher say bring calculator luke confident teacher decide calcs,happiness
omg concert awesome madrigal give chill almost every piece brook also call alumni get go,happiness
livestrongnj yeah terrible cockatoos hardest live emotional good thing find though,neutral
late nothin two,sadness
think vog make sicker think feel slightly achy,worry
thetombert watch harpers island lol vodka involve,empty
homework suck big time maths worst,worry
nymo would better go let play three songs provide start get black,neutral
3wordsaftersex never start,neutral
sometimes wish things could go back way begin last summer,sadness
download new twitterfon update think fix type problem new tweet,worry
tarng trudy burnet one north one go,empty
kateisbored feel way guess matter always memes,sadness
thirty minutes treadmill thirty minutes today already go twenty minutes,happiness
sooooooooooooo confuse,worry
friends like vaiko nedumaran ltte need enemies wrong advice wrong time lead numerous deaths lose well,neutral
work day seven seven,worry
chillin roomies wait zombie clwn cr go sixtyeight weeks,happiness
looove guitars play think sound magnificent better,neutral
superjerry refund retrieve account take like week hop thief use hack permaban,worry
mysticnz cry lol,neutral
cute malay girl come seemy room rent sadly think guyfreind mislead disappoint lol,sadness
gurlstrange epicentre wheelock place two hundred fifty units tourists start today,surprise
hate new mt dew commercial one giant mosquito scar gross time,hate
come knight well four hours,neutral
super keen drive home rain additional concentration require really want deal,worry
foxxfiles aw let secret,surprise
freshypanda sorry think stick least compare use look like,surprise
transport church make crush oh well time assignments suppose throat really hurt,worry
hate see pregnant women smokinggg sooo irresponsible n selfish saaad ultimately baby one suffer,hate
lie lie lie avoid lie practically everything,hate
twittascope rock sock go away already,neutral
drive back home forget piece cake v_era,neutral
seemouserun try jump without trampoline like thud thud eat cookie mylocme1xiz,worry
everytime send email coach feel need practice shitty ball lol,sadness
piss let follow ericka,sadness
go sleep peaceful want hear say good night happen good night everyone,sadness
mums try make feel ebtter stop vote adn win shortstack almost cry,sadness
koifusionpdx close tacos one spot late,neutral
msz_rockstar umm bout get two see da game see dey survive anotha game da series due notin lebron guessin,empty
think much work,surprise
forget live jonas brothers facebook,worry
see muffin two whole days,sadness
yumifujii miss back give lesleyboudy regard,sadness
gap year go quick,surprise
admit bum friends walk today,worry
jennyvokals girl blunt soooooooo thoughts right absolutly great day stressors come home,neutral
twitter hack,worry
find mj mouse flats dj course none leave size,sadness
passingcarss time buy need new binder pa,neutral
lanacaitlin hahaha well try ugly,hate
25man ulduar hard,neutral
jmoriarty even want know know vhemt go would miss,worry
ooochelcyooo awesome weekend go move sit lot fun though,fun
night night twitter world still believe thomas thing tomorrow gunna funsad,neutral
princess_oats happen,neutral
qi_tah oh hug,surprise
oxygen8705 bore talk someone busy something else kind bummer know,neutral
xoshayzers knoww things samee three,sadness
omgness one thousand one hundred eighteen pm need beup early set garage sale start 8am wish say 9am beat,worry
vinylvickxen kno doooo partyin,happiness
okay twitter suddenly change respond message,worry
ugh dad tell read article kavya shivashankar spellin bee girl like,neutral
decide matter good hair look curly justify burn get curler hand cover suck,worry
go sleep go fall asleep play apps tomorrow go suck,sadness
thabillcollecta yea get seven hundred thirty,neutral
hate bf beat da dog guess way teach pitts,hate
sprain ankle like really badly tear stuff hurt birthday weekend,worry
believe metal gear solid song steal disappoint bitlyykksu,sadness
think may break toe bar tonight thank drink girl steppin,hate
one sale today work explore balconies big theater w coworkers fun day void chili fry tip,neutral
maczombierawr wish leave four dead first would need something play,sadness
sillybabyjulie,neutral
digenis story remind live portugal,neutral
jhicks diabetic dad might sure still allow eat sugar throughout day,neutral
spill beer leg waste half beer home meet cute girl good conversation,happiness
roommate tess_tickle love ignore,hate
superfiasco make nachos tomorrow better would make,neutral
mydailyroutine yeahhh judge pillow,neutral
scary lightning thunder glad go sleep hope late school tomorow haha,relief
teeth head hurt,sadness
hate rob zombie movies smell weed vommmm,sadness
jcwentz maths science strongest think know bout geography like one day study twelve year work,hate
wait line tryst,boredom
hope get job cuz need apartment drink miss lil punkin tehe,worry
get home want read last chaper break dawn want beover,worry
need hold gnite,worry
hang sam billy veronica go school tomorrow take sam body shop dang car accidents,worry
arrest development sad,sadness
giggles_xo wicked time leave come stay night,neutral
omg keep lose followers sad want ninety one day goal,sadness
feel deflate doggy,sadness
blood_rain want see hair everyone,worry
empty trash mac one difficult things ever life eight thousand picture go,sadness
contact paw philippines find tiger new owner sad love dog soo much,sadness
get home want read last chaper break dawn want,sadness
aww pray arroyo family everyone,worry
the_babsi manual process take 4ever outlook database pffff crappy msft product,neutral
fuuudge movie store close,sadness
alo sad quiet empty tonight,sadness
meganmansyn hahahaha horrible others sing sure could work wish could afford drum set,hate
wuzzyangel never answer dm send need info,worry
try get pilot first season friday night light oh gosh pass tissue,worry
mona26 aw head cancel trip aussie,sadness
cystic lacrimal infectection eye face swell hurt,worry
jose3030 think anyone catch,worry
need sleep even tire,empty
zero,empty
oh nevermind think thing unsalvageable,neutral
lyin bed faaaaar early,neutral
sad christian lacroix file bankruptcy,sadness
feel good fuckkk,sadness
agree work double shift,boredom
look like never go zoo,worry
djvinceadams ohh poor girl email rely october mr,worry
medhurst play,neutral
moss1982 bad time,worry
aarrgghh fu k hose leak water new float floor,hate
go dread dmv tomorrow,sadness
duncm ben thaied,neutral
english class work interactive orals,happiness
sharonhayes thank rec work,worry
dmoneymania sorry excite tomorrow night karaoke get anything special birthday,neutral
puppy gizmo h8s haha still growl always look back long pruple scar fingie,worry
know work tomorrow wit body dis sore ugh,worry
seven hundred eleven wo,neutral
becjee yeah plus little far walk pinocchio sushi,neutral
feel pressure head always kick nasty headache look forward,worry
taylor swift joe jonas look really good together kind sad break,sadness
suppose turn sentence outline research paper within hour online neck hurt,worry
lady across way miscarriage say prayer,worry
god want sleep,sadness
ksutt11 ohhhh thunderstorms boo always make power go,hate
feel deflate doggy,worry
find book start real paperbound journal tonight annoy zit lip make look like herpes,sadness
ratt rock nashville tonite one thing suck encore like eighty still fun show pearcy hott bad boy look,hate
feel bad get bad news mum,worry
realblackwidow dun want,sadness
imjustlalayone damn girl ya get let know get kit together get flyer next weekend,sadness
justinodom dbl booooooo sick flippin blow bahaha kno many friends either feel lame haha,sadness
brettyrocks think time go one,neutral
peep still fun time get sleep though work cool hot chicks none cool ____________ miss,neutral
feel like work think tweet often,worry
feel sick stomach idkk whyy,sadness
vineri nimic special sau probabil un alt weekend pierdut,worry
count hours lose sunshine weekend,neutral
justintevya dude saw sf pics look like mini excursion pretty kick ass see sun though,surprise
home safely hungry,relief
hello_jodie um throw jarewolf van yesterday take er,sadness
get final table go third think get free seat,worry
good morning work morning gutted lol nevermind,neutral
work morning friends get party stupid bberry lite flash red message,hate
fb bore want sing right,happiness
judyrey link work,sadness
deedubau hahaha know anyone anything except power lol live bubble,neutral
humpalow um ya think cell die,worry
last day work sick bone,worry
feel like house arrest,worry
love like war easy begin hard end fiuuhh,neutral
heavenjones suppose bk though,surprise
cosmiclagoon know shortage crab use beach due beach combers sad,worry
oh nighty night,surprise
celldweller must new music sleep give us chapter one might die first though hurry,happiness
stupid tooooth hurt,sadness
neyoofficial love song together song well think still,love
ready go school,neutral
turnitgrey computers break break laptop use phone ahh still fuck order,sadness
richard_gable good holiday chalet sight look v similar ones go home today,neutral
sad economy hear another friend lose job sad reminder,worry
jarekpastor start feel really panicky anxious something bad happen cos seem like age,worry
dog run awayyy,worry
all_is_one84 suck bad,hate
back top molar extract swell face numb toothache sinus pain,worry
finish eight hours texas life insurance ce tonight twentytwo hours go,relief
anyone know good rap songs need make rapfun cd idea helllllpppp,worry
want go peru summer ahhhhhhh hopefully yesyesyes miss,love
exortabreedoll happen maids quit,empty
awake anybody else awake wish live us since fun happen asleep,sadness
charle power lol damn savemart lose power could buy beer,hate
penguin_j heehee love tire,sadness
mobile phone refuse charge either battery break chargerrr booooo,worry
kirsten613 oh wish would get sign something send let call meet something,worry
kimberly625 hmmm think sleep bad see videos tomorrow night,worry
morning everyone sorry go early last night bad news felt totally crap today new day,sadness
go beach start rain,empty
wish parent put chinese school younger much easier get job,sadness
anthonylucas iainfunnell yeah physically move apparently report directly mr hayward,relief
nayryelgiuq airport show tonight homo,neutral
charloro jealous look like schindler list toronto,worry
want another tatt,enthusiasm
avalonabsinthe come erock leave bah,neutral
need make lot money tomorrow,enthusiasm
joiskol room make sad,sadness
nearly fell asleep jolt bed massive panic attack sure sleep,worry
gays make two hundred tonight,neutral
cocktailchic oh f ck completely forget thirsty thursday oh gaga suck,sadness
one people wrong world blame people great world live shit,sadness
mandyalwaysknws nope sleep cuz live east coast,surprise
dravenreborn bet cool sr huh stop sweat since noon dad pack,neutral
meljachin eww dislike,sadness
tactical mistake go city library buy milk know ouch ouch ouch maybe good thing try uni,worry
decide two trans frm relax two natural hair wish whole head look like root age instant gratification,neutral
suzydunkley sorry bout cat,sadness
need increase salary plurkcompwxluu,neutral
stomach feel like touch grind full,worry
pug wake incredible sleep,love
ddlovato wait hear new album sure amazingplease replay love much,love
sooo much work little time,worry
miss iron chef,sadness
thevowel ds version suck,sadness
bad day,sadness
lilxamyx08 know ridiculous never get hang love chicago want go shop trip sound like fun,enthusiasm
hat net ayaw bumukas ng twitter plurkcompwxlxs,hate
ugh internet,worry
omg tweet much today sadness,surprise
feel giddy want go home,worry
week without adam lambert performance,neutral
rockingjude link work,neutral
pack last day youth camp,worry
gossip girl come back chaceeeeeee,neutral
smh hiphop nursery rhyme,neutral
somebody please save polar bear,worry
pandamayhem noooooooooooo look lot picture lol lol,happiness
crazyballerina really sleepy bore right word much work,surprise
come attention 16yo friend recently gain ton weight know,worry
guess stay home tonight movieing,worry
go cd store search cd,sadness
buzzedition remind weather month ago horrible hope well hug,worry
miss mom may angels lead,sadness
really android twitter app tweetie calibre,love
jacksonville beach walk cold ass water work morning ily,hate
taylor_d,neutral
chocolovere feel way every day,sadness
sleep suck one day sleep get go shop mom ugh,sadness
crunchmonkey78 well get home till tmw 530p comcast right miss,neutral
sleppytime really miss godfather right love wayne,sadness
headache right suck,sadness
jaydz hope ya sleepin well guy still,worry
finish color draw come,fun
jwray12 lakers baby lakers miss game tmwr work keep post please,sadness
comfort food day pan mee though taste good,sadness
damn drink hot suck,worry
miss baby,sadness
sleep paperwork,worry
shower icecold water sweat mean one thing sick,worry
midnight cry wish person want want right,worry
mousebudden need follow real quick dm,neutral
poorly sleep,sadness
go pole class feel discourage hopeless con dance sexy move spread legs,worry
roasterboy poor unfortunate souls appear pant blipfm78qvz,worry
damohopo stephanieellen tell often wash hair would never speak,worry
look like another sleepless night dedicate homework sorry advance ms chapman,worry
jessicaduncan twitpiccom662vk lot mock,worry
say goodnight,worry
abguerraartist pussy damnit send email right way,hate
work tom,sadness
hongkong international airport wait thirtyfour hours next flight cebu,neutral
sleep nothings tv,neutral
pics upload baby pics cat missy adult pretty little kitty batty kitten heaven,love
kalliet oh superseeded good enough,neutral
today say goodbye second good friend week dmp least sun shin definately work pm,sadness
fuckin transtelecom,anger
really really bore guess go bed,boredom
syo_of_the_dead meet stranger ten min ago stalk store,worry
modeltheany tee beefin suppose leavin,surprise
sometimes things say hurt ones love unintentionally never ever take back fix,sadness
nickkk_ suck,sadness
dorkydeanna iiii know mean,neutral
fever feel work,sadness
take horse pills hop get sleep tonight,worry
busygod pgpm student pgpm student four years back wish could stay one,neutral
miss meldibiase six days pass quick enough,sadness
juliaiiivir hey school hate place,hate
work home today back kill doctor physio later today,sadness
back work distractions,neutral
ddlovato demi say hi enough replay please love much,happiness
awwww never notice bitlyrconp,neutral
heavyharts suck well state start tomorrow headin two bed nitey nite,neutral
look like go nice work today annoy choice,worry
mygoldmask guy keep set list forget ask one xx,neutral
first impression silverlight sadly base saw today quite problematic,neutral
desperatly hop dad take vanessa game,worry
pb_and_jay hi fuck job,worry
miss deeply,sadness
time go bed get go work,neutral
mrssunshine96 big vanessa go three september go fast hard cuz workin much miss alot,happiness
ravel sniff sniff take care ravel hopefully chat soon mean time hella miss,sadness
miss_cheryl lucky want teleport,neutral
somebody please save polar bear,worry
nose runny head pound teeth hurt like bitch man feel awful,worry
want leave,sadness
headin home refresh mind soul justa lil bac reality,relief
good lord see agency work upcoming open day money jam,happiness
wut,empty
work fridaaaayyyyy,anger
grove drag hell hope suck,worry
nolaevol feel like shit say happy belated birfdayy month late,worry
kaliyahpjones lmao sad kind discourage 4rom goin shit wack,sadness
get home work nine hundred fortyfive finish clean need eat dinner know want ugh oh well might eat,surprise
willynorthpole wish,sadness
miss little batty three months old get sick always fun full life three even end,sadness
fc finally time hate keep happen,neutral
seriously bore without anyone talk tire enough sleep,neutral
morning hate mornings offensive,sadness
keytar still give computer break omg,neutral
bed bed bed samuelasanders never answer texts anymore think day send one never hear back sad day,sadness
,neutral
brianshead waah longer peep,sadness
angelica_yo lol wow dawg sound like play feel bad haha,sadness
extremly deep,surprise
little foster kitten get big chubba winston go two b miss get amaze home,happiness
one week till exam block,enthusiasm
forever_yours13 home cat right,neutral
hop fail english would sad,worry
know would great shoulder stop hurt sleep normal wantneed solid hours good sleep,worry
leno last show tonight like better conan,neutral
mariuslt sorry bad drive experience,sadness
monpio,neutral
already miss cmontecillo,sadness
plan may change nooooooo,hate
sister douchebag,hate
fiercebanana relisting fee complete sale suck,surprise
echeers random,neutral
know wear sars mask plane socal feel beginnings sore throat,worry
gutted bathroom still free early work go happen need loo,sadness
ddlovato july long,neutral
laurelexmachina awww wish could stick jab eye knit needle,worry
astynes wonder mnet show,surprise
wear glass give headache,neutral
calvinharris stop talkin food haha fill like sum nw hha day goin start,enthusiasm
finish sew night upload picture slidebar beach believe difficulties twitter,worry
thank ddlovato wait ummm way crash still sick,sadness
first work computer home laptop fuck,sadness
liesgirlstell guy call phone see number real ohh phone work try tomorrow,worry
beer friday melbourne cbd mtub mini cmon thirsty lonely bugger make feel like scotty mat,worry
debbylovespr know come back twentytwo 1st lose lead last six minutes,worry
gosh summer vacation almost philippines kind sad wonder section,worry
shanajaca feltbeats page six ms twitterworld twentysix vote,neutral
bum wear sweet nike kick work,worry
pickleybaby twitter break,worry
sleep good night tweeties oc tomorrow hope pray rachyl get better soon,neutral
joek949 depress stick inside day,sadness
rachelasha even saw news fee archie website believe would choose veronica disappoint,worry
hate sick miss cynthiasheree lucyowns larilync,sadness
iceweasel eat sliders barjohnnys pork though beef still search,neutral
get ready school second maths test today also last day 3rd year next week officially 4th year,happiness
wake want stay bed,sadness
depress include morcom garden quiz facebook,worry
dravenreborn yeah still totally high 60s soooo notlooking forward aug sept,worry
upsidedown tomato plant die,sadness
deep priecing soul,boredom
ashleypratt oh come get next week get next week full exams,worry
friday last much fun skint though,neutral
vocabularies know tell anyone know dad tell famz yet think take online,worry
ddlovato caa nt iht earlier icant wait long ahar,sadness
friday yay bonus drive wales tonight athough miss kitten cuddle go ride,happiness
children promise birthday brekkie bed problem bugger food house,worry
rderozario woops realize dms go,worry
think able get bed tomorrow morning seeeee,neutral
use blackberry today suck,surprise
q studio create open season google look dvd downstairs feel lazy,enthusiasm
time change,neutral
prncsztalia hate,sadness
time tv bedthen spend day catch study hate online summer class,hate
slickiris video available us foreigners,neutral
twitpiccom663vr want visit animals late,sadness
prime8507 pc agree problem must stop spend work,worry
jonaswebcast miss,sadness
dang really look like crap sigh 35mins shower 10mins get ready,hate
wait get pick,neutral
exhaust sleep like nights,sadness
go miss live comet action tomorrow go take care cousins access interwebz,sadness
lol drink,surprise
bill compton wii twitter,surprise
nothinbutsin sorry hear,sadness
morning sport day today threelegged race weefeetfrankie mr pettigrew say aloud trip,worry
find drink bar booo miss e1 palomino cheer sad face,sadness
sleep two hours toss turn,worry
omg go die swine flu go melbourne,worry
pack like,anger
giggles_xo dang certain okay,neutral
wish dave gilmour roger water would reunite pink floyd concert,neutral
finish whole box ice cream,sadness
one horse town two blow car speakers,neutral
someone make cofffeeeeeee,neutral
crispynoodles plus deposit tax return cheque first time seven years clear immediately,worry
photo martwo omg love accadentally delete photo yay hes beautiful tumblrcomxvd1wankt,love
ashleighryder knooww hot water bottle iss whangamata without ahhhhh,worry
nose stuffy,neutral
last night newport,neutral
charlieboy808 thank rt sorry new place domestics,relief
ok shoe club cool fun poppin except four people tryna dance wit,happiness
holy crap rain la jacket oh,worry
aright twitter fam guess outties go try n sleep horrible pain,neutral
baby recieving vaccines,neutral
wish could attend e3 year small events like nba stanley cup finals keep get way work work work,worry
o0hemmy lol hi emmy latin would help study aptitude test get grad school want take,happiness
chrisontv88 way wimp,sadness
kaseypoteet lol yeah yeah big perv hop see next week scrap plan,relief
reject food substances,worry
bigyahu try interview dr paul twomey ceo icann phone issue cut interview thirty mins fifteen,worry
queenbmakeup add myspace girly ask last name email,sadness
back vienna sooo tire luggage lose manchester would great good outcome seminar mbs great people around,hate
meghanwong think take needle watch horribly gory short film drug months ago scar life,worry
want go back work sleepy time,sadness
jprestonian feel good,worry
watch biggest loser hallmark never fail make cry nyeh,neutral
zaharh suck old actually,neutral
think get work,worry
still confuse,neutral
naughty girl tonight dissappointed,worry
rbuerckner better missy eight tell biggest loser,worry
bitly3w9w1 noooo go orlando omg go cry,sadness
mycakesrock aaaaaahhhhhhhh soooooooo sweeeeeeet miss age soooo much,surprise
saw fox get freeway hope go home,surprise
scratch sleep stage bind,neutral
recap britains get talent britain seem talented america,surprise
officialtila cnt get goin old message help,neutral
good time rock open mic thank four love n support work business plan presentation cg 2nite,love
laurelexmachina swim go,neutral
johnpopham morning john yes however diary clash sadly attend,sadness
miss friend,sadness
duciaestherine ohh ic ic haha iyaa summer fill one course last whole summer,neutral
yea saw really sad commercial,sadness
hmmm use tinytwitter small nontouch screen really much fun,sadness
plantweb lettuce spinach best cool weather live florida much luck grow,fun
joshuah_pearson,neutral
ikramshahnawaz oh love think kind preservatives use stay justbaked kind make sick,love
ccburns unfortunately,neutral
elephantgravy new lens work work give fee error,worry
hat sleep alone,sadness
emlevins,neutral
need new phone,empty
back school almost weekend oh wait get work eight four tonight,worry
love johnny carson go hate see jay leno go,sadness
even though everyone want newish song teacher agree old grumpy like us happy haha,sadness
